# =============================================================================
# FINE-GRAIN EMIGRATION RATES — Annual probability of leaving Canada
# =============================================================================
# Source: Statistics Canada Demographic Estimates Program (91-209-X);
#         Citizenship and Immigration Canada longitudinal cohort studies;
#         OECD emigration data.
#
# Canada's annual emigration rate is roughly 0.3–0.5% of population.
# Rates peak among young adults (20–34), are lowest for children and
# elderly, and vary by sex (males slightly higher in working ages).
#
# Format: one row per (period_year, sex, age_group).
# sex: M or F
# age_group: lower bound of 5-year band
# annual_prob: probability of emigrating in a given year [0, 1]
#
# Period anchors: 1971, 2001, 2021, 2050, 2100
# Overall average emigration rate trend:
#   1971 ≈ 0.45% p.a., 2001 ≈ 0.37%, 2021 ≈ 0.35%, 2050 ≈ 0.30%, 2100 ≈ 0.25%
# (gradual decline as Canadian-born share of population stabilizes)
#
# =============================================================================
period_year,sex,age_group,annual_prob
# ── 1971 Male ────────────────────────────────────────────────────────────────
1971,M,0,0.0035
1971,M,5,0.0030
1971,M,10,0.0028
1971,M,15,0.0042
1971,M,20,0.0085
1971,M,25,0.0095
1971,M,30,0.0080
1971,M,35,0.0065
1971,M,40,0.0052
1971,M,45,0.0042
1971,M,50,0.0035
1971,M,55,0.0030
1971,M,60,0.0025
1971,M,65,0.0020
# ── 1971 Female ──────────────────────────────────────────────────────────────
1971,F,0,0.0033
1971,F,5,0.0028
1971,F,10,0.0026
1971,F,15,0.0040
1971,F,20,0.0078
1971,F,25,0.0088
1971,F,30,0.0074
1971,F,35,0.0060
1971,F,40,0.0048
1971,F,45,0.0038
1971,F,50,0.0031
1971,F,55,0.0026
1971,F,60,0.0021
1971,F,65,0.0017
# ── 2001 Male ────────────────────────────────────────────────────────────────
2001,M,0,0.0028
2001,M,5,0.0024
2001,M,10,0.0022
2001,M,15,0.0035
2001,M,20,0.0072
2001,M,25,0.0082
2001,M,30,0.0068
2001,M,35,0.0054
2001,M,40,0.0043
2001,M,45,0.0034
2001,M,50,0.0028
2001,M,55,0.0024
2001,M,60,0.0020
2001,M,65,0.0016
# ── 2001 Female ──────────────────────────────────────────────────────────────
2001,F,0,0.0026
2001,F,5,0.0022
2001,F,10,0.0020
2001,F,15,0.0032
2001,F,20,0.0066
2001,F,25,0.0076
2001,F,30,0.0062
2001,F,35,0.0049
2001,F,40,0.0039
2001,F,45,0.0031
2001,F,50,0.0025
2001,F,55,0.0021
2001,F,60,0.0017
2001,F,65,0.0014
# ── 2021 Male ────────────────────────────────────────────────────────────────
2021,M,0,0.0025
2021,M,5,0.0021
2021,M,10,0.0019
2021,M,15,0.0031
2021,M,20,0.0068
2021,M,25,0.0078
2021,M,30,0.0064
2021,M,35,0.0050
2021,M,40,0.0040
2021,M,45,0.0031
2021,M,50,0.0026
2021,M,55,0.0021
2021,M,60,0.0017
2021,M,65,0.0014
# ── 2021 Female ──────────────────────────────────────────────────────────────
2021,F,0,0.0023
2021,F,5,0.0019
2021,F,10,0.0017
2021,F,15,0.0028
2021,F,20,0.0061
2021,F,25,0.0071
2021,F,30,0.0058
2021,F,35,0.0045
2021,F,40,0.0036
2021,F,45,0.0028
2021,F,50,0.0023
2021,F,55,0.0019
2021,F,60,0.0015
2021,F,65,0.0012
# ── 2050 Male (projected) ─────────────────────────────────────────────────────
2050,M,0,0.0020
2050,M,5,0.0017
2050,M,10,0.0015
2050,M,15,0.0025
2050,M,20,0.0058
2050,M,25,0.0067
2050,M,30,0.0054
2050,M,35,0.0043
2050,M,40,0.0034
2050,M,45,0.0026
2050,M,50,0.0021
2050,M,55,0.0018
2050,M,60,0.0014
2050,M,65,0.0012
# ── 2050 Female (projected) ───────────────────────────────────────────────────
2050,F,0,0.0018
2050,F,5,0.0015
2050,F,10,0.0013
2050,F,15,0.0022
2050,F,20,0.0052
2050,F,25,0.0061
2050,F,30,0.0049
2050,F,35,0.0038
2050,F,40,0.0030
2050,F,45,0.0023
2050,F,50,0.0019
2050,F,55,0.0016
2050,F,60,0.0012
2050,F,65,0.0010
# ── 2100 Male (projected) ─────────────────────────────────────────────────────
2100,M,0,0.0016
2100,M,5,0.0013
2100,M,10,0.0012
2100,M,15,0.0020
2100,M,20,0.0048
2100,M,25,0.0056
2100,M,30,0.0045
2100,M,35,0.0036
2100,M,40,0.0028
2100,M,45,0.0022
2100,M,50,0.0018
2100,M,55,0.0015
2100,M,60,0.0012
2100,M,65,0.0010
# ── 2100 Female (projected) ───────────────────────────────────────────────────
2100,F,0,0.0014
2100,F,5,0.0011
2100,F,10,0.0010
2100,F,15,0.0018
2100,F,20,0.0043
2100,F,25,0.0050
2100,F,30,0.0040
2100,F,35,0.0032
2100,F,40,0.0025
2100,F,45,0.0020
2100,F,50,0.0016
2100,F,55,0.0013
2100,F,60,0.0010
2100,F,65,0.0008
