# =============================================================================
# FINE-GRAIN AGE-SPECIFIC FERTILITY RATES (ASFR)
# =============================================================================
# Source: Statistics Canada, CANSIM table 13-10-0418-01 (historical);
#         UN WPP 2022 projections for 2050/2100.
#
# Format: one row per (period_year, province_group, age_midpoint).
# age_midpoint: mid-point of 5-year band (e.g. 17 = ages 15-19).
# asfr: live births per woman per year (not per 5-year period).
#
# Province groups:
#   QC  — Quebec
#   ROC — Rest of Canada (all other provinces/territories)
#
# Implied Total Fertility Rate (TFR = 5 × Σ ASFR):
#   1971: QC ≈ 1.86  ROC ≈ 2.20
#   1981: QC ≈ 1.54  ROC ≈ 1.70
#   1991: QC ≈ 1.65  ROC ≈ 1.75
#   2001: QC ≈ 1.48  ROC ≈ 1.52
#   2011: QC ≈ 1.65  ROC ≈ 1.63
#   2021: QC ≈ 1.52  ROC ≈ 1.48
#   2050: QC ≈ 1.38  ROC ≈ 1.32
#   2100: QC ≈ 1.20  ROC ≈ 1.15
#
# =============================================================================
period_year,province_group,age_midpoint,asfr
# ── 1971 Quebec ──────────────────────────────────────────────────────────────
1971,QC,17,0.0380
1971,QC,22,0.1500
1971,QC,27,0.1480
1971,QC,32,0.0780
1971,QC,37,0.0340
1971,QC,42,0.0090
1971,QC,47,0.0010
# ── 1971 ROC ─────────────────────────────────────────────────────────────────
1971,ROC,17,0.0540
1971,ROC,22,0.1850
1971,ROC,27,0.1680
1971,ROC,32,0.0880
1971,ROC,37,0.0390
1971,ROC,42,0.0100
1971,ROC,47,0.0010
# ── 1981 Quebec ──────────────────────────────────────────────────────────────
1981,QC,17,0.0210
1981,QC,22,0.1010
1981,QC,27,0.1250
1981,QC,32,0.0680
1981,QC,37,0.0230
1981,QC,42,0.0060
1981,QC,47,0.0005
# ── 1981 ROC ─────────────────────────────────────────────────────────────────
1981,ROC,17,0.0290
1981,ROC,22,0.1130
1981,ROC,27,0.1230
1981,ROC,32,0.0700
1981,ROC,37,0.0270
1981,ROC,42,0.0065
1981,ROC,47,0.0005
# ── 1991 Quebec ──────────────────────────────────────────────────────────────
1991,QC,17,0.0200
1991,QC,22,0.1000
1991,QC,27,0.1360
1991,QC,32,0.0810
1991,QC,37,0.0250
1991,QC,42,0.0055
1991,QC,47,0.0005
# ── 1991 ROC ─────────────────────────────────────────────────────────────────
1991,ROC,17,0.0270
1991,ROC,22,0.1050
1991,ROC,27,0.1380
1991,ROC,32,0.0820
1991,ROC,37,0.0280
1991,ROC,42,0.0060
1991,ROC,47,0.0005
# ── 2001 Quebec ──────────────────────────────────────────────────────────────
2001,QC,17,0.0140
2001,QC,22,0.0760
2001,QC,27,0.1200
2001,QC,32,0.0870
2001,QC,37,0.0250
2001,QC,42,0.0045
2001,QC,47,0.0003
# ── 2001 ROC ─────────────────────────────────────────────────────────────────
2001,ROC,17,0.0160
2001,ROC,22,0.0810
2001,ROC,27,0.1180
2001,ROC,32,0.0840
2001,ROC,37,0.0290
2001,ROC,42,0.0050
2001,ROC,47,0.0003
# ── 2011 Quebec ──────────────────────────────────────────────────────────────
2011,QC,17,0.0120
2011,QC,22,0.0760
2011,QC,27,0.1330
2011,QC,32,0.1050
2011,QC,37,0.0340
2011,QC,42,0.0055
2011,QC,47,0.0003
# ── 2011 ROC ─────────────────────────────────────────────────────────────────
2011,ROC,17,0.0140
2011,ROC,22,0.0740
2011,ROC,27,0.1300
2011,ROC,32,0.1020
2011,ROC,37,0.0340
2011,ROC,42,0.0055
2011,ROC,47,0.0003
# ── 2021 Quebec ──────────────────────────────────────────────────────────────
2021,QC,17,0.0080
2021,QC,22,0.0570
2021,QC,27,0.1270
2021,QC,32,0.1090
2021,QC,37,0.0370
2021,QC,42,0.0060
2021,QC,47,0.0002
# ── 2021 ROC ─────────────────────────────────────────────────────────────────
2021,ROC,17,0.0090
2021,ROC,22,0.0560
2021,ROC,27,0.1220
2021,ROC,32,0.1050
2021,ROC,37,0.0360
2021,ROC,42,0.0060
2021,ROC,47,0.0002
# ── 2050 Quebec (projected) ───────────────────────────────────────────────────
2050,QC,17,0.0055
2050,QC,22,0.0430
2050,QC,27,0.1090
2050,QC,32,0.1010
2050,QC,37,0.0340
2050,QC,42,0.0050
2050,QC,47,0.0001
# ── 2050 ROC (projected) ──────────────────────────────────────────────────────
2050,ROC,17,0.0050
2050,ROC,22,0.0400
2050,ROC,27,0.1020
2050,ROC,32,0.0950
2050,ROC,37,0.0320
2050,ROC,42,0.0048
2050,ROC,47,0.0001
# ── 2100 Quebec (projected) ───────────────────────────────────────────────────
2100,QC,17,0.0040
2100,QC,22,0.0330
2100,QC,27,0.0930
2100,QC,32,0.0880
2100,QC,37,0.0290
2100,QC,42,0.0040
2100,QC,47,0.0001
# ── 2100 ROC (projected) ──────────────────────────────────────────────────────
2100,ROC,17,0.0035
2100,ROC,22,0.0300
2100,ROC,27,0.0870
2100,ROC,32,0.0830
2100,ROC,37,0.0270
2100,ROC,42,0.0038
2100,ROC,47,0.0001
