# =============================================================================
# FINE-GRAIN IMMIGRANT AGE-SEX DISTRIBUTION
# =============================================================================
# Source: Statistics Canada IMDB (Longitudinal Immigration Database);
#         IRCC annual reports; UN WPP migrant age patterns for projections.
#
# Format: one row per (period_year, sex, age_group).
# sex: M or F
# age_group: lower bound of 5-year band (e.g. 0 = ages 0-4, 65 = ages 65+)
# share: fraction of all immigrants of that sex in this age band
#        (M shares sum to 1.0; F shares sum to 1.0 independently)
#
# Male/Female split of total immigrants assumed ~50/50 throughout
# (actual IRCC data: 48-52% range historically).
#
# Notes:
#   - Strong working-age peak (25-39) reflects economic-class dominance
#   - Child share (0-14) ~15-18%, largely family-class dependent children
#   - 65+ share small (~2-4%) but rising in later projections
#   - Refugee periods shift age distribution younger
# =============================================================================
period_year,sex,age_group,share
# ── 1971 Male ────────────────────────────────────────────────────────────────
1971,M,0,0.0720
1971,M,5,0.0680
1971,M,10,0.0590
1971,M,15,0.0580
1971,M,20,0.1100
1971,M,25,0.1750
1971,M,30,0.1410
1971,M,35,0.0980
1971,M,40,0.0720
1971,M,45,0.0530
1971,M,50,0.0380
1971,M,55,0.0260
1971,M,60,0.0170
1971,M,65,0.0130
# ── 1971 Female ──────────────────────────────────────────────────────────────
1971,F,0,0.0680
1971,F,5,0.0640
1971,F,10,0.0560
1971,F,15,0.0620
1971,F,20,0.1240
1971,F,25,0.1720
1971,F,30,0.1340
1971,F,35,0.0920
1971,F,40,0.0680
1971,F,45,0.0490
1971,F,50,0.0350
1971,F,55,0.0240
1971,F,60,0.0170
1971,F,65,0.0150
# ── 2001 Male ────────────────────────────────────────────────────────────────
2001,M,0,0.0620
2001,M,5,0.0580
2001,M,10,0.0520
2001,M,15,0.0490
2001,M,20,0.1080
2001,M,25,0.2050
2001,M,30,0.1680
2001,M,35,0.1050
2001,M,40,0.0640
2001,M,45,0.0410
2001,M,50,0.0270
2001,M,55,0.0180
2001,M,60,0.0130
2001,M,65,0.0110
# ── 2001 Female ──────────────────────────────────────────────────────────────
2001,F,0,0.0600
2001,F,5,0.0560
2001,F,10,0.0500
2001,F,15,0.0540
2001,F,20,0.1140
2001,F,25,0.2010
2001,F,30,0.1590
2001,F,35,0.0990
2001,F,40,0.0600
2001,F,45,0.0380
2001,F,50,0.0250
2001,F,55,0.0170
2001,F,60,0.0130
2001,F,65,0.0140
# ── 2021 Male ────────────────────────────────────────────────────────────────
2021,M,0,0.0540
2021,M,5,0.0500
2021,M,10,0.0440
2021,M,15,0.0490
2021,M,20,0.1160
2021,M,25,0.2280
2021,M,30,0.1790
2021,M,35,0.1010
2021,M,40,0.0550
2021,M,45,0.0320
2021,M,50,0.0200
2021,M,55,0.0140
2021,M,60,0.0110
2021,M,65,0.0130
# ── 2021 Female ──────────────────────────────────────────────────────────────
2021,F,0,0.0520
2021,F,5,0.0480
2021,F,10,0.0420
2021,F,15,0.0530
2021,F,20,0.1220
2021,F,25,0.2230
2021,F,30,0.1700
2021,F,35,0.0960
2021,F,40,0.0510
2021,F,45,0.0300
2021,F,50,0.0190
2021,F,55,0.0140
2021,F,60,0.0120
2021,F,65,0.0150
# ── 2050 Male (projected) ─────────────────────────────────────────────────────
2050,M,0,0.0480
2050,M,5,0.0440
2050,M,10,0.0390
2050,M,15,0.0440
2050,M,20,0.1050
2050,M,25,0.2200
2050,M,30,0.1840
2050,M,35,0.1100
2050,M,40,0.0610
2050,M,45,0.0360
2050,M,50,0.0230
2050,M,55,0.0160
2050,M,60,0.0130
2050,M,65,0.0150
# ── 2050 Female (projected) ───────────────────────────────────────────────────
2050,F,0,0.0460
2050,F,5,0.0420
2050,F,10,0.0370
2050,F,15,0.0480
2050,F,20,0.1100
2050,F,25,0.2160
2050,F,30,0.1750
2050,F,35,0.1040
2050,F,40,0.0570
2050,F,45,0.0330
2050,F,50,0.0210
2050,F,55,0.0160
2050,F,60,0.0140
2050,F,65,0.0170
# ── 2100 Male (projected) ─────────────────────────────────────────────────────
2100,M,0,0.0420
2100,M,5,0.0390
2100,M,10,0.0350
2100,M,15,0.0400
2100,M,20,0.0940
2100,M,25,0.2100
2100,M,30,0.1890
2100,M,35,0.1150
2100,M,40,0.0660
2100,M,45,0.0400
2100,M,50,0.0270
2100,M,55,0.0190
2100,M,60,0.0160
2100,M,65,0.0200
# ── 2100 Female (projected) ───────────────────────────────────────────────────
2100,F,0,0.0400
2100,F,5,0.0370
2100,F,10,0.0330
2100,F,15,0.0440
2100,F,20,0.0990
2100,F,25,0.2060
2100,F,30,0.1800
2100,F,35,0.1090
2100,F,40,0.0610
2100,F,45,0.0370
2100,F,50,0.0250
2100,F,55,0.0190
2100,F,60,0.0160
2100,F,65,0.0210
