# =============================================================================
# PROVINCIAL ALLOCATION OF IMMIGRATION
# =============================================================================
# Share of new immigrants settling in each province each year. Rows must
# sum to 1.0 (the loader normalizes if not).
#
# Historical context:
#  - Quebec received ~22% in 1970s, falling to ~15% by 1990s, then back
#    up to ~18-20% in 2010s, dropping to ~11% in 2023 due to QC's
#    refusal of higher federal targets.
#  - Ontario consistently receives ~40-50%.
#  - Alberta and BC have grown as destinations since the 2000s.
#
# Two periods are listed; the loader linearly interpolates between them
# and holds constant outside the bounds. Add more rows for finer detail.
#
# Columns: year, NL, PE, NS, NB, QC, ON, MB, SK, AB, BC, YT, NT, NU
# =============================================================================
year,NL,PE,NS,NB,QC,ON,MB,SK,AB,BC,YT,NT,NU
1971,0.003,0.001,0.008,0.005,0.220,0.520,0.040,0.018,0.080,0.103,0.0005,0.0010,0.0005
1990,0.003,0.001,0.010,0.006,0.180,0.510,0.040,0.020,0.090,0.139,0.0005,0.0005,0.0005
2010,0.005,0.002,0.012,0.008,0.190,0.430,0.060,0.030,0.130,0.132,0.0005,0.0005,0.0005
2023,0.008,0.005,0.020,0.012,0.110,0.480,0.055,0.035,0.150,0.124,0.0005,0.0005,0.0005
# Post-2023: continue observed trends for ~15 years then gradual plateau.
# QC continues declining (federal/provincial tension ongoing).
# AB continues gaining share (economic pull, lower cost of living vs ON/BC).
# ON gives up modest share to AB; BC roughly stable.
# Atlantic provinces continue growing due to Atlantic Immigration Program effects.
2030,0.010,0.006,0.023,0.014,0.100,0.465,0.058,0.038,0.165,0.120,0.0005,0.0005,0.0005
2040,0.012,0.007,0.026,0.016,0.090,0.450,0.060,0.040,0.175,0.122,0.0005,0.0005,0.0005
2050,0.013,0.007,0.027,0.017,0.085,0.435,0.062,0.042,0.185,0.122,0.0005,0.0005,0.0005
2100,0.013,0.007,0.027,0.018,0.080,0.425,0.063,0.043,0.195,0.127,0.0005,0.0005,0.0005
2150,0.013,0.007,0.027,0.018,0.077,0.420,0.063,0.043,0.200,0.130,0.0005,0.0005,0.0005
