# =============================================================================
# INDIGENOUS POPULATION — CENSUS ANCHORS
# =============================================================================
# Two definitions are tracked, because they tell very different stories:
#
#   identity      = "Aboriginal / Indigenous identity" population
#                   (First Nations + Metis + Inuit). ~1.4% of Canada in 1971,
#                   ~5.0% by 2021. Much of the historical *growth* is driven by
#                   reclassification / "ethnic mobility", not just births.
#
#   mothertongue  = people whose mother tongue is an Indigenous language
#                   (Cree, Inuktitut, Ojibwe, Dene, Innu, Mi'kmaq, ...).
#                   Far smaller (~0.9% in 1971 -> ~0.5% in 2021) and declining
#                   as a share because of language shift to English/French.
#
# Populations are in THOUSANDS. Anchor years are census years; the model
# interpolates (log-linear) between anchors and projects past the last anchor
# using data/indigenous_natural_increase.csv.
#
# !!! IMPORTANT — DATA QUALITY !!!
# These provincial figures are APPROXIMATE / illustrative. Provincial sums are
# calibrated to the published national identity anchors (312k in 1971, 799k in
# 1996, 1,172.8k in 2006, 1,673.8k in 2016, 1,807k in 2021) and to the known
# territorial concentrations (NU ~86%, NT ~50%, YT ~22%, MB/SK ~17%), but the
# per-province, per-year cells have NOT been reconciled cell-by-cell against
# StatCan tables. Replace any row with exact census values to sharpen results.
# Sources to drop in: StatCan Census 1971-2021, tables 98-10-0264 (identity)
# and 98-10-0189 (mother tongue).
#
# Columns: province_code, year, identity_thousands, mothertongue_thousands
# =============================================================================
province_code,year,identity_thousands,mothertongue_thousands
NL,1971,4.0,1.5
NL,1996,14.2,1.3
NL,2006,23.5,1.2
NL,2016,45.7,1.1
NL,2021,45.7,1.0
PE,1971,0.5,0.1
PE,1996,1.0,0.1
PE,2006,1.7,0.1
PE,2016,2.7,0.1
PE,2021,3.0,0.1
NS,1971,5.0,2.5
NS,1996,12.4,2.6
NS,2006,24.2,2.6
NS,2016,51.5,2.5
NS,2021,52.4,2.5
NB,1971,4.0,1.5
NB,1996,10.3,1.3
NB,2006,17.7,1.1
NB,2016,29.4,1.0
NB,2021,36.9,0.9
QC,1971,32.0,32.0
QC,1996,71.4,34.0
QC,2006,108.4,33.0
QC,2016,182.9,30.0
QC,2021,205.0,28.0
ON,1971,62.0,16.0
ON,1996,141.5,22.0
ON,2006,242.5,24.0
ON,2016,374.4,26.0
ON,2021,406.6,26.0
MB,1971,46.0,36.0
MB,1996,128.7,37.0
MB,2006,175.4,35.0
MB,2016,223.3,33.0
MB,2021,237.2,31.0
SK,1971,44.0,32.0
SK,1996,111.2,33.0
SK,2006,141.9,31.0
SK,2016,175.0,29.0
SK,2021,187.9,27.0
AB,1971,44.0,22.0
AB,1996,122.7,24.0
AB,2006,188.4,22.0
AB,2016,258.6,22.0
AB,2021,284.5,21.0
BC,1971,52.0,15.0
BC,1996,139.7,17.0
BC,2006,196.1,16.0
BC,2016,270.6,17.0
BC,2021,290.2,16.0
YT,1971,4.5,2.0
YT,1996,6.2,1.8
YT,2006,7.6,1.6
YT,2016,8.2,1.4
YT,2021,8.8,1.3
NT,1971,9.0,10.0
NT,1996,20.0,6.0
NT,2006,20.6,5.0
NT,2016,20.9,4.5
NT,2021,20.9,5.0
NU,1971,8.0,18.0
NU,1996,20.7,28.0
NU,2006,24.9,26.7
NU,2016,30.1,29.4
NU,2021,30.9,27.0
