# =============================================================================
# NET PROVINCIAL GROWTH RATE (annual) -- was 'natural increase'
# =============================================================================
# Net endogenous provincial growth as a fraction of current population per
# year: births minus deaths PLUS the net-migration / non-permanent-resident
# residual, RECALIBRATED so the agent model reproduces the provincial census
# series in historical_provincial_population.csv (1971-2025) province by
# province. (Interprovincial moves are still modelled explicitly for their
# language selectivity; this rate absorbs the net total-population residual.)
#
# Fitted historical nodes: 1981,1991,2001,2011,2021,2024.
# Post-2025 nodes preserve the previous below-replacement decline shape,
# re-based onto the calibrated 2024 value.
#
# New people inherit the current language distribution of their province.
# Linear interpolation between rows.
#
# Columns: year,NL,PE,NS,NB,QC,ON,MB,SK,AB,BC,YT,NT,NU
# =============================================================================
year,NL,PE,NS,NB,QC,ON,MB,SK,AB,BC,YT,NT,NU
1971,0.0090,0.0085,0.0075,0.0085,0.0070,0.0085,0.0085,0.0095,0.0120,0.0075,0.0140,0.0180,0.0180
1981,0.0396,0.0231,0.0284,0.0102,-0.0040,0.0012,0.0155,0.0290,-0.0142,-0.0050,0.0120,0.0160,0.0160
1991,-0.0091,-0.0040,0.0045,-0.0049,0.0123,0.0256,0.0169,0.0022,-0.0185,0.0034,0.0100,0.0140,0.0140
2001,0.0166,0.0208,0.0134,-0.0014,-0.0131,-0.0093,-0.0047,0.0134,-0.0191,-0.0093,0.0080,0.0130,0.0130
2011,0.0132,-0.0068,0.0062,-0.0035,0.0173,0.0269,0.0229,0.0167,-0.0090,-0.0054,0.0070,0.0110,0.0110
2021,-0.0064,0.0203,0.0092,-0.0083,-0.0107,-0.0049,0.0045,0.0136,-0.0238,0.0009,0.0040,0.0090,0.0090
2024,0.0440,0.0427,0.0443,0.0369,0.0272,0.0500,0.0444,0.0375,0.0219,0.0306,0.0030,0.0070,0.0070
2030,-0.0084,0.0183,0.0072,-0.0093,-0.0127,-0.0069,0.0030,0.0121,-0.0263,-0.0011,0.0020,0.0050,0.0050
2050,-0.0094,0.0173,0.0062,-0.0103,-0.0137,-0.0079,0.0020,0.0111,-0.0273,-0.0021,0.0010,0.0030,0.0030
2075,-0.0099,0.0168,0.0057,-0.0108,-0.0142,-0.0084,0.0015,0.0106,-0.0278,-0.0026,0.0005,0.0025,0.0025
2100,-0.0104,0.0163,0.0052,-0.0113,-0.0147,-0.0089,0.0010,0.0101,-0.0283,-0.0031,0.0000,0.0020,0.0020
2150,-0.0104,0.0163,0.0052,-0.0113,-0.0147,-0.0089,0.0010,0.0101,-0.0283,-0.0031,0.0000,0.0020,0.0020
